w_food,w_danger,w_space,w_wall,J,steps,snake_game_seed,gen_number,snake_number
6.500000000,0.000000000,-1.000000000,0.000000000,21,213,1351,7,1
7.000000000,0.000000000,-1.000000000,0.000000000,21,,1351,7,2
7.500000000,0.000000000,-1.000000000,0.000000000,21,,1351,7,3
8.000000000,0.000000000,-1.000000000,0.000000000,20,,1351,7,4
8.500000000,0.000000000,-1.000000000,0.000000000,20,,1351,7,5
5.000000000,0.000000000,-2.000000000,0.000000000,19,,1351,7,6
6.000000000,0.000000000,-2.000000000,0.000000000,19,,1351,7,7
5.500000000,0.000000000,-2.000000000,0.000000000,19,,1351,7,8
6.500000000,0.000000000,-2.000000000,0.000000000,19,,1351,7,9
7.000000000,0.000000000,-2.000000000,0.000000000,19,,1351,7,10
