w_food,w_danger,w_space,w_wall,J,steps,snake_game_seed,gen_number,snake_number
4.000000000,0.000000000,-4.000000000,0.000000000,18,111,5555,5,1
2.000000000,0.000000000,-6.000000000,0.000000000,18,,5555,5,2
3.000000000,0.000000000,-6.000000000,0.000000000,18,,5555,5,3
4.000000000,0.000000000,-6.000000000,0.000000000,18,,5555,5,4
5.000000000,0.000000000,-6.000000000,0.000000000,18,,5555,5,5
6.000000000,0.000000000,-6.000000000,0.000000000,18,,5555,5,6
2.000000000,0.000000000,-5.000000000,0.000000000,18,,5555,5,7
3.000000000,0.000000000,-5.000000000,0.000000000,18,,5555,5,8
4.000000000,0.000000000,-5.000000000,0.000000000,18,,5555,5,9
5.000000000,0.000000000,-5.000000000,0.000000000,18,,5555,5,10
