w_food,w_danger,w_space,w_wall,J,steps,snake_game_seed,gen_number,snake_number
1.000000000,0.000000000,6.000000000,0.000000000,44,617,1888,9,1
1.000000000,0.000000000,7.000000000,0.000000000,44,,1888,9,2
1.000000000,0.000000000,8.000000000,0.000000000,44,,1888,9,3
1.000000000,0.000000000,9.000000000,0.000000000,44,,1888,9,4
2.000000000,0.000000000,11.000000000,0.000000000,44,,1888,9,5
2.000000000,0.000000000,10.000000000,0.000000000,37,,1888,9,6
1.000000000,0.000000000,5.000000000,0.000000000,37,,1888,9,7
2.000000000,0.000000000,8.000000000,0.000000000,35,,1888,9,8
2.000000000,0.000000000,7.000000000,0.000000000,35,,1888,9,9
2.000000000,0.000000000,9.000000000,0.000000000,35,,1888,9,10
