w_food,w_danger,w_space,w_wall,J,steps,snake_game_seed,gen_number,snake_number
4.000000000,0.000000000,0.000000000,0.000000000,28,244,3227,5,1
3.791200000,-0.004200000,0.000700000,0.072400000,28,,3227,5,2
2.500000000,0.000000000,0.000000000,0.000000000,28,,3227,5,3
3.250000000,0.000000000,0.000000000,0.000000000,28,,3227,5,4
4.750000000,0.000000000,0.000000000,0.000000000,28,,3227,5,5
5.500000000,0.000000000,0.000000000,0.000000000,28,,3227,5,6
4.500000000,0.000000000,0.000000000,0.000000000,28,,3227,5,7
5.000000000,0.000000000,0.000000000,0.000000000,28,,3227,5,8
6.000000000,0.000000000,0.000000000,0.000000000,28,,3227,5,9
4.000000000,0.000000000,-1.000000000,0.000000000,25,,3227,5,10
